Country,Year_Week,Cases,Y_M
Republic of Korea,2009-6,0,2009-2
Singapore,2009-6,0,2009-2
Sri Lanka,2009-6,0,2009-2
Syrian Arab Republic,2009-6,NA,2009-2
Thailand,2009-6,0,2009-2
Turkey,2009-6,NA,2009-2
Viet Nam,2009-6,0,2009-2
Afghanistan,2009-7,NA,2009-2
Armenia,2009-7,NA,2009-2
Azerbaijan,2009-7,NA,2009-2
Bahrain,2009-7,NA,2009-2
Bangladesh,2009-7,NA,2009-2
Bhutan,2009-7,NA,2009-2
Cambodia,2009-7,0,2009-2
China,2009-7,0,2009-2
Georgia,2009-7,NA,2009-2
India,2009-7,0,2009-2
Indonesia,2009-7,NA,2009-2
Iran (Islamic Republic of),2009-7,0,2009-2
Iraq,2009-7,NA,2009-2
Israel,2009-7,0,2009-2
Japan,2009-7,0,2009-2
Jordan,2009-7,NA,2009-2
Kazakhstan,2009-7,0,2009-2
Kyrgyzstan,2009-7,0,2009-2
Lao People's Democratic Republic,2009-7,NA,2009-2
Malaysia,2009-7,0,2009-2
Mongolia,2009-7,0,2009-2
Nepal,2009-7,NA,2009-2
Oman,2009-7,NA,2009-2
Pakistan,2009-7,0,2009-2
Philippines,2009-7,0,2009-2
Qatar,2009-7,NA,2009-2
Republic of Korea,2009-7,0,2009-2
Singapore,2009-7,0,2009-2
Sri Lanka,2009-7,0,2009-2
Syrian Arab Republic,2009-7,NA,2009-2
Thailand,2009-7,0,2009-2
Turkey,2009-7,NA,2009-2
Viet Nam,2009-7,0,2009-2
Afghanistan,2009-8,NA,2009-2
Armenia,2009-8,NA,2009-2
Azerbaijan,2009-8,NA,2009-2
Bahrain,2009-8,NA,2009-2
Bangladesh,2009-8,NA,2009-2
Bhutan,2009-8,NA,2009-2
Cambodia,2009-8,0,2009-2
China,2009-8,0,2009-2
Georgia,2009-8,NA,2009-2
India,2009-8,0,2009-2
Indonesia,2009-8,NA,2009-2
Iran (Islamic Republic of),2009-8,0,2009-2
Iraq,2009-8,NA,2009-2
Israel,2009-8,0,2009-2
Japan,2009-8,0,2009-2
Jordan,2009-8,NA,2009-2
Kazakhstan,2009-8,0,2009-2
Kyrgyzstan,2009-8,0,2009-2
Lao People's Democratic Republic,2009-8,NA,2009-2
Malaysia,2009-8,0,2009-2
Mongolia,2009-8,0,2009-2
Nepal,2009-8,NA,2009-2
Oman,2009-8,NA,2009-2
Pakistan,2009-8,0,2009-2
Philippines,2009-8,0,2009-2
Qatar,2009-8,NA,2009-2
Republic of Korea,2009-8,0,2009-2
Singapore,2009-8,0,2009-2
Sri Lanka,2009-8,0,2009-2
Syrian Arab Republic,2009-8,NA,2009-2
Thailand,2009-8,0,2009-2
Turkey,2009-8,NA,2009-2
Viet Nam,2009-8,0,2009-2
Afghanistan,2009-9,NA,2009-3
Armenia,2009-9,NA,2009-3
Azerbaijan,2009-9,NA,2009-3
Bahrain,2009-9,NA,2009-3
Bangladesh,2009-9,NA,2009-3
Bhutan,2009-9,NA,2009-3
Cambodia,2009-9,0,2009-3
China,2009-9,0,2009-3
Georgia,2009-9,NA,2009-3
India,2009-9,0,2009-3
Indonesia,2009-9,NA,2009-3
Iran (Islamic Republic of),2009-9,0,2009-3
Iraq,2009-9,NA,2009-3
Israel,2009-9,0,2009-3
Japan,2009-9,0,2009-3
Jordan,2009-9,NA,2009-3
Kazakhstan,2009-9,0,2009-3
Kyrgyzstan,2009-9,0,2009-3
Lao People's Democratic Republic,2009-9,NA,2009-3
Malaysia,2009-9,0,2009-3
Mongolia,2009-9,0,2009-3
Nepal,2009-9,NA,2009-3
Oman,2009-9,NA,2009-3
Pakistan,2009-9,0,2009-3
Philippines,2009-9,0,2009-3
Qatar,2009-9,NA,2009-3
Republic of Korea,2009-9,0,2009-3
Singapore,2009-9,0,2009-3
Sri Lanka,2009-9,0,2009-3
Syrian Arab Republic,2009-9,NA,2009-3
Thailand,2009-9,0,2009-3
Turkey,2009-9,NA,2009-3
Viet Nam,2009-9,0,2009-3
Afghanistan,2009-10,NA,2009-3
Armenia,2009-10,NA,2009-3
Azerbaijan,2009-10,NA,2009-3
Bahrain,2009-10,NA,2009-3
Bangladesh,2009-10,NA,2009-3
Bhutan,2009-10,NA,2009-3
Cambodia,2009-10,0,2009-3
China,2009-10,0,2009-3
Georgia,2009-10,NA,2009-3
India,2009-10,0,2009-3
Indonesia,2009-10,NA,2009-3
Iran (Islamic Republic of),2009-10,0,2009-3
Iraq,2009-10,NA,2009-3
Israel,2009-10,0,2009-3
Japan,2009-10,0,2009-3
Jordan,2009-10,NA,2009-3
Kazakhstan,2009-10,0,2009-3
Kyrgyzstan,2009-10,0,2009-3
Lao People's Democratic Republic,2009-10,NA,2009-3
Malaysia,2009-10,0,2009-3
Mongolia,2009-10,0,2009-3
Nepal,2009-10,NA,2009-3
Oman,2009-10,0,2009-3
Pakistan,2009-10,0,2009-3
Philippines,2009-10,0,2009-3
Qatar,2009-10,NA,2009-3
Republic of Korea,2009-10,0,2009-3
Singapore,2009-10,0,2009-3
Sri Lanka,2009-10,0,2009-3
Syrian Arab Republic,2009-10,NA,2009-3
Thailand,2009-10,0,2009-3
Turkey,2009-10,NA,2009-3
Viet Nam,2009-10,0,2009-3
Afghanistan,2009-11,NA,2009-3
Armenia,2009-11,NA,2009-3
Azerbaijan,2009-11,0,2009-3
Bahrain,2009-11,NA,2009-3
Bangladesh,2009-11,NA,2009-3
Bhutan,2009-11,NA,2009-3
Cambodia,2009-11,0,2009-3
China,2009-11,0,2009-3
Georgia,2009-11,NA,2009-3
India,2009-11,0,2009-3
Indonesia,2009-11,NA,2009-3
Iran (Islamic Republic of),2009-11,0,2009-3
Iraq,2009-11,NA,2009-3
Israel,2009-11,0,2009-3
Japan,2009-11,0,2009-3
Jordan,2009-11,NA,2009-3
Kazakhstan,2009-11,0,2009-3
Kyrgyzstan,2009-11,0,2009-3
Lao People's Democratic Republic,2009-11,NA,2009-3
Malaysia,2009-11,0,2009-3
Mongolia,2009-11,0,2009-3
Nepal,2009-11,NA,2009-3
Oman,2009-11,0,2009-3
Pakistan,2009-11,0,2009-3
Philippines,2009-11,0,2009-3
Qatar,2009-11,NA,2009-3
Republic of Korea,2009-11,0,2009-3
Singapore,2009-11,0,2009-3
Sri Lanka,2009-11,0,2009-3
Syrian Arab Republic,2009-11,NA,2009-3
Thailand,2009-11,0,2009-3
Turkey,2009-11,NA,2009-3
Viet Nam,2009-11,0,2009-3
Afghanistan,2009-12,NA,2009-3
Armenia,2009-12,NA,2009-3
Azerbaijan,2009-12,0,2009-3
Bahrain,2009-12,NA,2009-3
Bangladesh,2009-12,NA,2009-3
Bhutan,2009-12,NA,2009-3
Cambodia,2009-12,0,2009-3
China,2009-12,0,2009-3
Georgia,2009-12,NA,2009-3
India,2009-12,0,2009-3
Indonesia,2009-12,NA,2009-3
Iran (Islamic Republic of),2009-12,0,2009-3
Iraq,2009-12,NA,2009-3
Israel,2009-12,0,2009-3
Japan,2009-12,0,2009-3
Jordan,2009-12,NA,2009-3
Kazakhstan,2009-12,0,2009-3
Kyrgyzstan,2009-12,0,2009-3
Lao People's Democratic Republic,2009-12,NA,2009-3
Malaysia,2009-12,0,2009-3
Mongolia,2009-12,0,2009-3
Nepal,2009-12,NA,2009-3
Oman,2009-12,0,2009-3
Pakistan,2009-12,0,2009-3
Philippines,2009-12,0,2009-3
Qatar,2009-12,NA,2009-3
Republic of Korea,2009-12,0,2009-3
Singapore,2009-12,0,2009-3
Sri Lanka,2009-12,0,2009-3
Syrian Arab Republic,2009-12,NA,2009-3
Thailand,2009-12,0,2009-3
Turkey,2009-12,NA,2009-3
Viet Nam,2009-12,0,2009-3
Afghanistan,2009-13,NA,2009-3
Armenia,2009-13,NA,2009-3
Azerbaijan,2009-13,NA,2009-3
Bahrain,2009-13,NA,2009-3
Bangladesh,2009-13,NA,2009-3
Bhutan,2009-13,NA,2009-3
Cambodia,2009-13,0,2009-3
China,2009-13,0,2009-3
Georgia,2009-13,NA,2009-3
India,2009-13,0,2009-3
Indonesia,2009-13,NA,2009-3
Iran (Islamic Republic of),2009-13,0,2009-3
Iraq,2009-13,NA,2009-3
Israel,2009-13,NA,2009-3
Japan,2009-13,0,2009-3
Jordan,2009-13,NA,2009-3
Kazakhstan,2009-13,0,2009-3
Kyrgyzstan,2009-13,0,2009-3
Lao People's Democratic Republic,2009-13,NA,2009-3
Malaysia,2009-13,0,2009-3
Mongolia,2009-13,0,2009-3
Nepal,2009-13,NA,2009-3
Oman,2009-13,0,2009-3
Pakistan,2009-13,0,2009-3
Philippines,2009-13,0,2009-3
Qatar,2009-13,NA,2009-3
Republic of Korea,2009-13,0,2009-3
Singapore,2009-13,0,2009-3
Sri Lanka,2009-13,0,2009-3
Syrian Arab Republic,2009-13,NA,2009-3
Thailand,2009-13,0,2009-3
Turkey,2009-13,NA,2009-3
Viet Nam,2009-13,0,2009-3
Afghanistan,2009-14,NA,2009-4
Armenia,2009-14,NA,2009-4
Azerbaijan,2009-14,NA,2009-4
Bahrain,2009-14,NA,2009-4
Bangladesh,2009-14,NA,2009-4
Bhutan,2009-14,NA,2009-4
Cambodia,2009-14,0,2009-4
China,2009-14,0,2009-4
Georgia,2009-14,NA,2009-4
India,2009-14,0,2009-4
Indonesia,2009-14,NA,2009-4
Iran (Islamic Republic of),2009-14,0,2009-4
Iraq,2009-14,NA,2009-4
Israel,2009-14,NA,2009-4
Japan,2009-14,0,2009-4
Jordan,2009-14,NA,2009-4
Kazakhstan,2009-14,0,2009-4
Kyrgyzstan,2009-14,0,2009-4
Lao People's Democratic Republic,2009-14,NA,2009-4
Malaysia,2009-14,0,2009-4
Mongolia,2009-14,0,2009-4
Nepal,2009-14,NA,2009-4
Oman,2009-14,0,2009-4
Pakistan,2009-14,0,2009-4
Philippines,2009-14,0,2009-4
Qatar,2009-14,NA,2009-4
Republic of Korea,2009-14,0,2009-4
Singapore,2009-14,0,2009-4
Sri Lanka,2009-14,0,2009-4
Syrian Arab Republic,2009-14,NA,2009-4
Thailand,2009-14,0,2009-4
Turkey,2009-14,NA,2009-4
Viet Nam,2009-14,0,2009-4
Afghanistan,2009-15,NA,2009-4
Armenia,2009-15,NA,2009-4
Azerbaijan,2009-15,NA,2009-4
Bahrain,2009-15,NA,2009-4
Bangladesh,2009-15,NA,2009-4
Bhutan,2009-15,NA,2009-4
Cambodia,2009-15,0,2009-4
China,2009-15,0,2009-4
Georgia,2009-15,NA,2009-4
India,2009-15,0,2009-4
Indonesia,2009-15,NA,2009-4
Iran (Islamic Republic of),2009-15,0,2009-4
Iraq,2009-15,NA,2009-4
Israel,2009-15,NA,2009-4
Japan,2009-15,0,2009-4
Jordan,2009-15,NA,2009-4
Kazakhstan,2009-15,0,2009-4
Kyrgyzstan,2009-15,0,2009-4
Lao People's Democratic Republic,2009-15,NA,2009-4
Malaysia,2009-15,0,2009-4
Mongolia,2009-15,0,2009-4
Nepal,2009-15,NA,2009-4
Oman,2009-15,0,2009-4
Pakistan,2009-15,0,2009-4
Philippines,2009-15,0,2009-4
Qatar,2009-15,NA,2009-4
Republic of Korea,2009-15,0,2009-4
Singapore,2009-15,0,2009-4
Sri Lanka,2009-15,0,2009-4
Syrian Arab Republic,2009-15,NA,2009-4
Thailand,2009-15,0,2009-4
Turkey,2009-15,NA,2009-4
Viet Nam,2009-15,0,2009-4
Afghanistan,2009-16,NA,2009-4
Armenia,2009-16,NA,2009-4
Azerbaijan,2009-16,NA,2009-4
Bahrain,2009-16,NA,2009-4
Bangladesh,2009-16,NA,2009-4
Bhutan,2009-16,NA,2009-4
Cambodia,2009-16,0,2009-4
China,2009-16,0,2009-4
Georgia,2009-16,NA,2009-4
India,2009-16,0,2009-4
Indonesia,2009-16,NA,2009-4
Iran (Islamic Republic of),2009-16,0,2009-4
Iraq,2009-16,NA,2009-4
Israel,2009-16,NA,2009-4
Japan,2009-16,0,2009-4
Jordan,2009-16,NA,2009-4
Kazakhstan,2009-16,0,2009-4
Kyrgyzstan,2009-16,0,2009-4
Lao People's Democratic Republic,2009-16,NA,2009-4
Malaysia,2009-16,0,2009-4
Mongolia,2009-16,0,2009-4
Nepal,2009-16,NA,2009-4
Oman,2009-16,0,2009-4
Pakistan,2009-16,0,2009-4
Philippines,2009-16,0,2009-4
Qatar,2009-16,NA,2009-4
Republic of Korea,2009-16,0,2009-4
Singapore,2009-16,0,2009-4
Sri Lanka,2009-16,0,2009-4
Syrian Arab Republic,2009-16,NA,2009-4
Thailand,2009-16,0,2009-4
Turkey,2009-16,NA,2009-4
Viet Nam,2009-16,0,2009-4
Afghanistan,2009-17,NA,2009-4
Armenia,2009-17,NA,2009-4
Azerbaijan,2009-17,NA,2009-4
Bahrain,2009-17,NA,2009-4
Bangladesh,2009-17,NA,2009-4
Bhutan,2009-17,NA,2009-4
Cambodia,2009-17,0,2009-4
China,2009-17,0,2009-4
Georgia,2009-17,NA,2009-4
India,2009-17,0,2009-4
Indonesia,2009-17,NA,2009-4
Iran (Islamic Republic of),2009-17,0,2009-4
Iraq,2009-17,NA,2009-4
Israel,2009-17,NA,2009-4
Japan,2009-17,0,2009-4
Jordan,2009-17,NA,2009-4
Kazakhstan,2009-17,NA,2009-4
Kyrgyzstan,2009-17,0,2009-4
Lao People's Democratic Republic,2009-17,NA,2009-4
Malaysia,2009-17,0,2009-4
Mongolia,2009-17,0,2009-4
Nepal,2009-17,NA,2009-4
Oman,2009-17,0,2009-4
Pakistan,2009-17,0,2009-4
Philippines,2009-17,0,2009-4
Qatar,2009-17,NA,2009-4
Republic of Korea,2009-17,0,2009-4
Singapore,2009-17,0,2009-4
Sri Lanka,2009-17,0,2009-4
Syrian Arab Republic,2009-17,NA,2009-4
Thailand,2009-17,0,2009-4
Turkey,2009-17,NA,2009-4
Viet Nam,2009-17,0,2009-4
Afghanistan,2009-18,NA,2009-5
Armenia,2009-18,NA,2009-5
Azerbaijan,2009-18,NA,2009-5
Bahrain,2009-18,NA,2009-5
Bangladesh,2009-18,NA,2009-5
Bhutan,2009-18,NA,2009-5
Cambodia,2009-18,0,2009-5
China,2009-18,0,2009-5
Georgia,2009-18,NA,2009-5
India,2009-18,0,2009-5
Indonesia,2009-18,NA,2009-5
Iran (Islamic Republic of),2009-18,0,2009-5
Iraq,2009-18,NA,2009-5
Israel,2009-18,NA,2009-5
Japan,2009-18,0,2009-5
Jordan,2009-18,NA,2009-5
Kazakhstan,2009-18,NA,2009-5
Kyrgyzstan,2009-18,0,2009-5
Lao People's Democratic Republic,2009-18,NA,2009-5
Malaysia,2009-18,0,2009-5
Mongolia,2009-18,0,2009-5
Nepal,2009-18,NA,2009-5
Oman,2009-18,0,2009-5
Pakistan,2009-18,0,2009-5
Philippines,2009-18,0,2009-5
Qatar,2009-18,NA,2009-5
Republic of Korea,2009-18,0,2009-5
Singapore,2009-18,0,2009-5
Sri Lanka,2009-18,0,2009-5
Syrian Arab Republic,2009-18,NA,2009-5
Thailand,2009-18,0,2009-5
Turkey,2009-18,NA,2009-5
Viet Nam,2009-18,0,2009-5
Afghanistan,2009-19,NA,2009-5
Armenia,2009-19,NA,2009-5
Azerbaijan,2009-19,NA,2009-5
Bahrain,2009-19,NA,2009-5
Bangladesh,2009-19,NA,2009-5
Bhutan,2009-19,NA,2009-5
Cambodia,2009-19,0,2009-5
China,2009-19,0,2009-5
Georgia,2009-19,NA,2009-5
India,2009-19,0,2009-5
Indonesia,2009-19,NA,2009-5
Iran (Islamic Republic of),2009-19,0,2009-5
Iraq,2009-19,NA,2009-5
Israel,2009-19,NA,2009-5
Japan,2009-19,0,2009-5
Jordan,2009-19,NA,2009-5
Kazakhstan,2009-19,NA,2009-5
Kyrgyzstan,2009-19,0,2009-5
Lao People's Democratic Republic,2009-19,NA,2009-5
Malaysia,2009-19,0,2009-5
Mongolia,2009-19,0,2009-5
Nepal,2009-19,NA,2009-5
Oman,2009-19,0,2009-5
Pakistan,2009-19,0,2009-5
Philippines,2009-19,0,2009-5
Qatar,2009-19,NA,2009-5
Republic of Korea,2009-19,0,2009-5
Singapore,2009-19,0,2009-5
Sri Lanka,2009-19,0,2009-5
Syrian Arab Republic,2009-19,NA,2009-5
Thailand,2009-19,0,2009-5
Turkey,2009-19,NA,2009-5
Viet Nam,2009-19,0,2009-5
Afghanistan,2009-20,NA,2009-5
Armenia,2009-20,NA,2009-5
Azerbaijan,2009-20,NA,2009-5
Bahrain,2009-20,NA,2009-5
Bangladesh,2009-20,NA,2009-5
Bhutan,2009-20,NA,2009-5
Cambodia,2009-20,0,2009-5
China,2009-20,0,2009-5
Georgia,2009-20,NA,2009-5
India,2009-20,0,2009-5
Indonesia,2009-20,NA,2009-5
Iran (Islamic Republic of),2009-20,0,2009-5
Iraq,2009-20,NA,2009-5
Israel,2009-20,NA,2009-5
Japan,2009-20,0,2009-5
Jordan,2009-20,NA,2009-5
Kazakhstan,2009-20,NA,2009-5
Kyrgyzstan,2009-20,0,2009-5
Lao People's Democratic Republic,2009-20,NA,2009-5
Malaysia,2009-20,0,2009-5
Mongolia,2009-20,0,2009-5
Nepal,2009-20,NA,2009-5
Oman,2009-20,0,2009-5
Pakistan,2009-20,0,2009-5
Philippines,2009-20,0,2009-5
Qatar,2009-20,NA,2009-5
Republic of Korea,2009-20,0,2009-5
Singapore,2009-20,0,2009-5
Sri Lanka,2009-20,0,2009-5
Syrian Arab Republic,2009-20,NA,2009-5
Thailand,2009-20,0,2009-5
Turkey,2009-20,NA,2009-5
Viet Nam,2009-20,0,2009-5
Afghanistan,2009-21,NA,2009-5
Armenia,2009-21,NA,2009-5
Azerbaijan,2009-21,NA,2009-5
Bahrain,2009-21,NA,2009-5
Bangladesh,2009-21,NA,2009-5
Bhutan,2009-21,NA,2009-5
Cambodia,2009-21,0,2009-5
China,2009-21,0,2009-5
Georgia,2009-21,NA,2009-5
India,2009-21,0,2009-5
Indonesia,2009-21,NA,2009-5
Iran (Islamic Republic of),2009-21,0,2009-5
Iraq,2009-21,NA,2009-5
Israel,2009-21,NA,2009-5
Japan,2009-21,0,2009-5
Jordan,2009-21,NA,2009-5
Kazakhstan,2009-21,NA,2009-5
Kyrgyzstan,2009-21,0,2009-5
Lao People's Democratic Republic,2009-21,NA,2009-5
Malaysia,2009-21,0,2009-5
Mongolia,2009-21,0,2009-5
Nepal,2009-21,NA,2009-5
Oman,2009-21,0,2009-5
Pakistan,2009-21,0,2009-5
Philippines,2009-21,0,2009-5
Qatar,2009-21,NA,2009-5
Republic of Korea,2009-21,0,2009-5
Singapore,2009-21,0,2009-5
Sri Lanka,2009-21,0,2009-5
Syrian Arab Republic,2009-21,NA,2009-5
Thailand,2009-21,0,2009-5
Turkey,2009-21,NA,2009-5
Viet Nam,2009-21,0,2009-5
Afghanistan,2009-22,NA,2009-6
Armenia,2009-22,NA,2009-6
Azerbaijan,2009-22,NA,2009-6
Bahrain,2009-22,NA,2009-6
Bangladesh,2009-22,NA,2009-6
Bhutan,2009-22,NA,2009-6
Cambodia,2009-22,0,2009-6
China,2009-22,0,2009-6
Georgia,2009-22,NA,2009-6
India,2009-22,0,2009-6
Indonesia,2009-22,NA,2009-6
Iran (Islamic Republic of),2009-22,0,2009-6
Iraq,2009-22,NA,2009-6
Israel,2009-22,NA,2009-6
Japan,2009-22,0,2009-6
Jordan,2009-22,NA,2009-6
Kazakhstan,2009-22,NA,2009-6
Kyrgyzstan,2009-22,0,2009-6
Lao People's Democratic Republic,2009-22,NA,2009-6
Malaysia,2009-22,0,2009-6
Mongolia,2009-22,0,2009-6
Nepal,2009-22,NA,2009-6
Oman,2009-22,0,2009-6
Pakistan,2009-22,0,2009-6
Philippines,2009-22,0,2009-6
Qatar,2009-22,NA,2009-6
Republic of Korea,2009-22,0,2009-6
Singapore,2009-22,0,2009-6
Sri Lanka,2009-22,0,2009-6
Syrian Arab Republic,2009-22,NA,2009-6
Thailand,2009-22,0,2009-6
Turkey,2009-22,NA,2009-6
Viet Nam,2009-22,0,2009-6
Afghanistan,2009-23,NA,2009-6
Armenia,2009-23,NA,2009-6
Azerbaijan,2009-23,NA,2009-6
Bahrain,2009-23,NA,2009-6
Bangladesh,2009-23,NA,2009-6
Bhutan,2009-23,NA,2009-6
Cambodia,2009-23,0,2009-6
China,2009-23,0,2009-6
Georgia,2009-23,NA,2009-6
India,2009-23,0,2009-6
Indonesia,2009-23,NA,2009-6
Iran (Islamic Republic of),2009-23,0,2009-6
Iraq,2009-23,NA,2009-6
Israel,2009-23,NA,2009-6
Japan,2009-23,0,2009-6
Jordan,2009-23,NA,2009-6
Kazakhstan,2009-23,NA,2009-6
